file,method,z_min,z_max,n_z_slices_used,time_sec,Z,downscale,error
20250619_Vascumap_Dev25_11_Daisy10,SKIPPED,,,,0.0,,4,
20250619_Vascumap_Dev25_11_Tulip10,SKIPPED,,,,0.0,,4,
20250619_Vascumap_Dev25_11_Wicell10,SKIPPED,,,,0.0,,4,
20250619_Vascumap_Dev25_11_Wicell10_2,SKIPPED,,,,0.0,,4,
20250619_Vascumap_Dev25_11_WicellRescue,SKIPPED,,,,0.0,,4,
20250619_Vascumap_Dev25_11_WicellRescue_2,SKIPPED,,,,0.0,,4,
20250619_Vascumap_Dev25_11_WicellWicellECFB10,SKIPPED,,,,0.0,,4,
20250619_Vascumap_Dev25_11_WicellWicellECFB10_2,SKIPPED,,,,0.0,,4,
Akinola_09102024_day7_hmvec_cs_merged_img0,SKIPPED,,,,0.0,,4,
Akinola_09102024_day7_hmvec_cs_merged_img1,SKIPPED,,,,0.0,,4,
Akinola_09102024_day7_hmvec_cs_merged_img2,SKIPPED,,,,0.0,,4,
Akinola_09102024_day7_hmvec_cs_merged_img3,SKIPPED,,,,0.0,,4,
Akinola_09102024_day7_hmvec_cs_merged_img4,SKIPPED,,,,0.0,,4,
Akinola_09102024_day7_hmvec_cs_merged_img5,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_CS_HMVEC_day 7_merged_upd_img0,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_CS_HMVEC_day 7_merged_upd_img1,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_CS_HMVEC_day 7_merged_upd_img2,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_CS_HMVEC_day 7_merged_upd_img3,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_CS_HMVEC_day 7_merged_upd_img4,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_HMVEC_merged_img0,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_HMVEC_merged_img1,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_HMVEC_merged_img2,SKIPPED,,,,0.0,,4,
Akinola_20231130_23YO_HMVEC_merged_img3,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img0,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img1,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img2,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img3,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img4,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img5,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img6,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img7,SKIPPED,,,,0.0,,4,
Akinola_30072024_cs_glassbeads_nt_day 7_merged_img8,SKIPPED,,,,0.0,,4,
Defne_large_placenta_chip_img0,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_1,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_10,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_2,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_3,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_4,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_5,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_6,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_7,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_8,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Dexa2_Device_9,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Gly_Device_3,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Gly_Device_4,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Gly_Device_5,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Gly_Device_6,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Gly_Device_7,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Gly_device_8,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle2_Device_3,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle_Device_2,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle_Device_3,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle_Device_4,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle_Device_5,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle_Device_6,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle_Device_7,SKIPPED,,,,0.0,,4,
Defne_placenta_270325_Vehicle_Device_9,SKIPPED,,,,0.0,,4,
Defne_small_placenta_chip_img0,SKIPPED,,,,0.0,,4,
Device2_Day4_250418,SKIPPED,,,,0.0,,4,
